race_id,state_postal,state_name,description,category,summary,race_call_status,last_updated,precincts_reporting,precincts_total,precincts_reporting_pct,expected_vote_pct,total_votes,candidate_id,option_name,vote_count,vote_pct
20241105ID83155,ID,Idaho,Idaho Proposition 1. Requires open primaries and ranked choice voting.,Voting & Elections,"This ballot measure would require open primaries in which candidates of all parties appear on the same ballot, with the top four vote recipients for each office advancing to a general election. Ranked choice voting would be used in general elections.",Called,2024-11-06T23:59:14.722000+00:00,958,975,98.26,98.26,867736,2,Yes,261649,30.15
20241105KY83089,KY,Kentucky,Kentucky Amendment 2. Allows public funds to go to non-public education.,Education,This proposed amendment to Kentucky's constitution would allow the General Assembly to provide public funds for K-12 education to non-public schools.,Called,2024-11-06T21:23:41.779000+00:00,3165,3233,97.9,97.9,2004924,3,No,1298333,64.76
20241105KY83089,KY,Kentucky,Kentucky Amendment 2. Allows public funds to go to non-public education.,Education,This proposed amendment to Kentucky's constitution would allow the General Assembly to provide public funds for K-12 education to non-public schools.,Called,2024-11-06T21:23:41.779000+00:00,3165,3233,97.9,97.9,2004924,2,Yes,706591,35.24
20241105KY83090,KY,Kentucky,Kentucky Amendment 1. Prohibits noncitizens from voting.,Voting & Elections,This proposed amendment to Kentucky's constitution would prohibit people who are not U.S. citizens from voting.,Called,2024-11-06T21:23:40.408000+00:00,3149,3233,97.4,97.39,1935457,2,Yes,1208218,62.43
20241105KY83090,KY,Kentucky,Kentucky Amendment 1. Prohibits noncitizens from voting.,Voting & Elections,This proposed amendment to Kentucky's constitution would prohibit people who are not U.S. citizens from voting.,Called,2024-11-06T21:23:40.408000+00:00,3149,3233,97.4,97.39,1935457,3,No,727239,37.57
20241105MA83169,MA,Massachusetts,Massachusetts Question 4. Legalizes certain psychedelic substances.,Drug Policy,"This ballot measure would legalize, regulate and tax the sale of psychedelic substances found in mushrooms and plants for people age 21 and older.",Called,2024-11-06T22:09:57.115000+00:00,2266,2390,94.81,97.59,3269722,3,No,1863720,57.0
20241105MA83169,MA,Massachusetts,Massachusetts Question 4. Legalizes certain psychedelic substances.,Drug Policy,"This ballot measure would legalize, regulate and tax the sale of psychedelic substances found in mushrooms and plants for people age 21 and older.",Called,2024-11-06T22:09:57.115000+00:00,2266,2390,94.81,97.59,3269722,2,Yes,1406002,43.0
20241105MD83125,MD,Maryland,Maryland Question 1. Creates a constitutional right to abortion.,Abortion,"This proposed amendment to Maryland's constitution would create a right to reproductive freedom, including to abortion. ",Called,2024-11-06T22:32:35.381000+00:00,1957,1958,99.95,76.38,2378393,167935,For,1762580,74.11
20241105MD83125,MD,Maryland,Maryland Question 1. Creates a constitutional right to abortion.,Abortion,"This proposed amendment to Maryland's constitution would create a right to reproductive freedom, including to abortion. ",Called,2024-11-06T22:32:35.381000+00:00,1957,1958,99.95,76.38,2378393,167936,Against,615813,25.89
20241105ME83055,ME,Maine,Maine Question 5. Changes the state flag.,Other,"This ballot measure would replace Maine's current flag, which features the state's coat of arms, with a flag featuring a pine tree and a star.",Called,2024-11-07T00:52:20.797000+00:00,494,575,85.91,90.4,734890,3,No,407619,55.47
